id;text_type
1434;article
1435;article
1436;article
1437;article
1438;article
1439;article
1440;article
1441;article
1442;article
1443;article
1444;article
1445;article
1446;caption
1447;article
1448;caption
1449;article
1450;article
1451;article
1452;article
1453;article
1454;article
1455;article
1456;article
1457;caption
1458;article
1459;article
1460;article
1461;caption
1462;article
1463;article
1464;article
1465;article
1466;article
1467;article
1468;article
1469;article
1470;article
1471;article
1472;caption
1473;article
1474;article
1475;article
1476;article
1477;article
1478;caption
1479;article
1480;article
1481;article
1482;article
1483;caption
1484;article
1485;article
1486;article
1487;article
1488;article
1489;article
1490;article
1491;article
1492;article
1493;article
1494;caption
1495;article
1496;article
1497;article
1498;article
1499;article
1500;article
1501;caption
1502;article
1503;article
1504;article
1505;article
1506;article
1507;article
1508;article
1509;article
1510;article
1511;article
1512;caption
1513;article
1514;article
1515;article
1516;caption
1517;article
1518;article
1519;caption
1520;article
1521;article
1522;caption
1523;article
1524;article
1525;article
1526;article
1527;article
1528;article
1529;article
1530;article
1531;article
1532;article
1533;article
1534;article
1535;article
1536;article
1537;article
1538;caption
1539;article
1540;article
1541;caption
1542;article
1543;article
1544;article
1545;caption
1546;article
1547;article
1548;article
1549;article
1550;article
1551;article
1552;article
1553;article
1554;article
1555;article
1556;article
1557;article
1558;article
1559;article
1560;article
1561;article
1562;article
1563;article
1564;article
1565;article
1566;article
1567;article
1568;article
1569;article
1570;caption
1571;article
1572;article
1573;article
1574;caption
1575;caption
1576;article
1577;article
1578;article
1579;article
1580;article
1581;article
1582;article
1583;article
1584;article
1585;article
1586;article
1587;article
1588;article
1589;article
1590;article
1591;article
1592;article
1593;article
1594;article
1595;article
1596;article
1597;article
1598;article
1599;article
1600;article
1601;article
1602;article
1603;article
1604;article
1605;article
1606;article
1607;article
1608;article
1609;article
1610;caption
1611;article
1612;article
1613;article
1614;article
1615;article
1616;article
1617;article
1618;article
1619;article
1620;article
1621;article
1622;caption
1623;article
1624;article
1625;article
1626;article
1627;article
1628;article
1629;article
1630;article
1631;article
1632;article
1633;article
1634;article
1635;article
1636;article
1637;article
1638;article
1639;article
1640;article
1641;article
1642;article
1643;article
1644;article
1645;article
1646;article
1647;article
1648;article
1649;article
1650;article
1651;article
1652;article
1653;article
1654;article
1655;article
1656;article
1657;article
1658;article
1659;article
1660;article
1661;article
1662;article
1663;article
1664;article
1665;article
1666;article
1667;article
1668;article
1669;article
1670;article
1671;article
1672;article
1673;article
1674;article
1675;article
1676;article
1677;article
1678;article
1679;article
1680;article
1681;article
1682;article
1683;article
1684;article
1685;article
1686;article
1687;article
1688;article
1689;article
1690;article
1691;article
1692;article
1693;article
1694;article
1695;article
1696;article
1697;article
1698;article
1699;article
1700;article
1701;article
1702;article
1703;article
1704;article
1705;article
1706;article
1707;article
1708;article
1709;article
1710;article
1711;article
1712;article
1713;article
1714;article
1715;article
1716;article
1717;article
1718;article
1719;article
1720;article
1721;article
1722;article
1723;article
1724;article
1725;caption
1726;caption
1727;article
1728;article
1729;article
1730;article
1731;article
1732;article
1733;article
1734;article
1735;article
1736;article
1737;article
1738;article
1739;article
1740;article
1741;article
1742;article
1743;article
1744;article
1745;caption
1746;article
1747;article
1748;caption
1749;article
1750;article
1751;article
1752;caption
1753;caption
1754;article
1755;caption
1756;article
1757;article
1758;article
1759;article
1760;article
1761;article
1762;article
1763;article
1764;article
1765;article
1766;article
1767;article
1768;article
1769;article
1770;caption
1771;article
1772;article
1773;article
1774;article
1775;article
1776;article
1777;article
1778;article
1779;caption
1780;article
1781;article
1782;article
1783;article
1784;article
1785;article
1786;article
1787;article
1788;caption
1789;article
1790;article
1791;article
1792;article
1793;article
1794;article
1795;article
1796;article
1797;article
1798;article
1799;article
1800;article
1801;article
1802;article
1803;article
1804;article
1805;article
1806;article
1807;article
1808;article
1809;article
1810;article
1811;article
1812;article
1813;article
1814;article
1815;article
1816;article
1817;article
1818;article
1819;article
1820;article
1821;article
1822;article
1823;article
1824;article
1825;article
1826;article
1827;article
1828;article
1829;article
1830;article
1831;article
1832;article
1833;article
1834;article
1835;article
1836;article
1837;article
1838;article
1839;article
1840;article
1841;article
1842;article
1843;article
1844;article
1845;article
1846;article
1847;article
1848;article
1849;article
1850;article
1851;article
1852;article
1853;caption
1854;article
1855;article
1856;article
1857;article
1858;article
1859;article
1860;article
1861;caption
1862;article
1863;article
1864;article
1865;article
1866;article
1867;article
1868;article
1869;article
1870;article
1871;article
1872;article
1873;article
1874;article
1875;article
1876;article
1877;article
1878;article
1879;article
1880;article
1881;article
1882;article
1883;article
1884;article
1885;article
1886;article
1887;article
1888;article
1889;caption
1890;article
1891;article
1892;article
1893;article
1894;article
1895;article
1896;article
1897;article
1898;article
1899;article
1900;article
1901;article
1902;article
1903;article
1904;article
1905;article
1906;article
1907;article
1908;caption
1909;article
1910;article
1911;article
1912;article
1913;article
1914;article
1915;caption
1916;article
1917;article
1918;article
1919;article
1920;caption
1921;article
1922;article
1923;caption
1924;article
1925;article
1926;article
1927;article
1928;article
1929;article
1930;article
1931;article
1932;article
1933;article
1934;article
1935;article
1936;article
1937;article
1938;article
1939;article
1940;article
1941;caption
1942;article
1943;article
1944;article
1945;article
1946;article
1947;article
1948;article
1949;article
1950;article
1951;article
1952;article
1953;article
1954;article
1955;article
1956;article
1957;caption
1958;article
1959;article
1960;article
1961;article
1962;article
1963;caption
1964;article
1965;article
1966;article
1967;article
1968;article
1969;article
1970;article
1971;article
1972;article
1973;article
1974;article
1975;article
1976;caption
1977;article
1978;article
1979;article
1980;article
1981;article
1982;article
1983;article
